seqnames start end CI.start CI.end genoT filenames
chr6 111749412 111868740 111528530 112164168 cc-wc ERR2268502_.trimmed.mdup.bam.RData.1
chr7 65191790 65231720 64608192 66303545 ww-wc ERR2268502_.trimmed.mdup.bam.RData.2
chr8 58990608 58994884 58894446 59357722 wc-ww ERR2268502_.trimmed.mdup.bam.RData.3
chr7 19951002 19996816 6423293 20521510 cc-wc ERR2268503_.trimmed.mdup.bam.RData.1
chr9 18782915 19188771 7789997 19588597 ww-wc ERR2268503_.trimmed.mdup.bam.RData.2
chr16 46400909 46502642 46389742 46823373 wc-cc ERR2268503_.trimmed.mdup.bam.RData.3
chr1 93681051 93758783 93362079 94505509 ww-wc ERR2268505_.trimmed.mdup.bam.RData.1
chr16 46398991 46400819 46390500 46979099 wc-ww ERR2268505_.trimmed.mdup.bam.RData.2
chr4 156099725 156431205 155507288 156706572 wc-cc ERR2268506_.trimmed.mdup.bam.RData
chr1 189250042 189974815 188745061 207684763 wc-ww ERR2268507_.trimmed.mdup.bam.RData.1
chr6 73695082 74066586 64898387 75879323 cc-wc ERR2268507_.trimmed.mdup.bam.RData.2
chr8 83698370 84065381 81090231 91171758 ww-wc ERR2268507_.trimmed.mdup.bam.RData.3
chr3 163820261 163835842 160984337 165890631 wc-ww ERR2268508_.trimmed.mdup.bam.RData
chr17 33682007 33696966 15051371 33863340 wc-ww ERR2268509_.trimmed.mdup.bam.RData
chr14 63436636 63565903 63108356 64084437 cc-wc ERR2268511_.trimmed.mdup.bam.RData
chr18 39193297 39266302 12755992 42731672 cc-wc ERR2268512_.trimmed.mdup.bam.RData
chrX 96028200 97617034 93981186 138787366 ww-wc ERR2268514_.trimmed.mdup.bam.RData
chr6 43490703 43616442 23009726 43847623 wc-cc ERR2268515_.trimmed.mdup.bam.RData
chr2 183777467 185433525 182386250 186157013 wc-cc ERR2268516_.trimmed.mdup.bam.RData.1
chr16 60556129 61879559 59426253 65522204 ww-wc ERR2268516_.trimmed.mdup.bam.RData.2
chr20 35339429 36191227 34853955 36689027 ww-wc ERR2268516_.trimmed.mdup.bam.RData.3
chr1 206809341 207031573 206512971 207586571 wc-ww ERR2268517_.trimmed.mdup.bam.RData.1
chr3 172159167 172169721 171890630 172774876 ww-wc ERR2268517_.trimmed.mdup.bam.RData.2
chr6 156414979 156467657 156193182 165732405 wc-ww ERR2268517_.trimmed.mdup.bam.RData.3
chrX 40349338 40492766 570634 41448869 wc-ww ERR2268517_.trimmed.mdup.bam.RData.4
chr1 221948042 222036666 221560130 239394153 wc-ww ERR2268519_.trimmed.mdup.bam.RData.1
chr20 33785039 33824949 31847129 50779283 wc-cc ERR2268519_.trimmed.mdup.bam.RData.2
chr10 108584665 108878208 108249038 124247685 wc-cc ERR2268520_.trimmed.mdup.bam.RData
chr2 56712230 56841452 56328817 57244382 wc-ww ERR2268523_.trimmed.mdup.bam.RData.1
chr3 174314570 174349717 173393902 178705273 wc-cc ERR2268523_.trimmed.mdup.bam.RData.2
chr5 86815010 86896745 86559869 87988490 ww-wc ERR2268523_.trimmed.mdup.bam.RData.3
chr2 210510505 210677570 210253421 212088557 cc-wc ERR2268524_.trimmed.mdup.bam.RData
chr1 187906688 188130503 187605798 188371675 wc-cc ERR2268525_.trimmed.mdup.bam.RData.1
chr2 160427206 160525305 160031670 161005500 wc-ww ERR2268525_.trimmed.mdup.bam.RData.2
chr3 25076285 25495048 24824242 25926470 wc-cc ERR2268526_.trimmed.mdup.bam.RData.1
chr20 25478491 28496895 24937773 28810458 ww-wc ERR2268526_.trimmed.mdup.bam.RData.2
chr20 30359189 33061367 28810383 33717005 wc-ww ERR2268526_.trimmed.mdup.bam.RData.3
chr7 37290162 37419011 86965 38077052 wc-cc ERR2268527_.trimmed.mdup.bam.RData.1
chr11 43389601 43619846 41313147 44578554 ww-cc ERR2268527_.trimmed.mdup.bam.RData.2
chr14 63177620 63599370 61671664 64756890 cc-wc ERR2268528_.trimmed.mdup.bam.RData
chr9 65061572 68464212 43652243 68797339 wc-ww ERR2268530_.trimmed.mdup.bam.RData
chr2 36341881 36350975 16431660 37195647 cc-wc ERR2268531_.trimmed.mdup.bam.RData
