seqnames start end CI.start CI.end genoT filenames
chr1 118157021 118239819 117924330 119308124 wc-ww ERR2268502_.trimmed.mdup.bam.RData.1
chr1 143699040 145688080 124216320 146978017 ww-wc ERR2268502_.trimmed.mdup.bam.RData.2
chr2 60877275 61183835 60510969 62371064 ww-wc ERR2268502_.trimmed.mdup.bam.RData.3
chr2 130799200 131579400 129787745 132085600 wc-ww ERR2268502_.trimmed.mdup.bam.RData.4
chr2 146613406 146617673 146204257 147055821 ww-wc ERR2268502_.trimmed.mdup.bam.RData.5
chr3 14545516 15740887 14349773 16260065 cc-wc ERR2268502_.trimmed.mdup.bam.RData.6
chr3 17906950 19555777 17399312 19690371 wc-cc ERR2268502_.trimmed.mdup.bam.RData.7
chr3 89820959 90799120 87603780 93736410 cc-ww ERR2268502_.trimmed.mdup.bam.RData.8
chr3 93470810 95169214 93470547 96472637 ww-cc ERR2268502_.trimmed.mdup.bam.RData.9
chr5 45672208 47121985 45410823 181309118 ww-wc ERR2268502_.trimmed.mdup.bam.RData.10
chr5 50756201 55133888 40373 55324262 wc-ww ERR2268502_.trimmed.mdup.bam.RData.11
chr6 5664854 5855741 5234920 5974919 wc-cc ERR2268502_.trimmed.mdup.bam.RData.12
chr6 111749412 111868740 111528530 112164168 cc-wc ERR2268502_.trimmed.mdup.bam.RData.13
chr7 59650416 60961575 57869475 61747015 ww-wc ERR2268502_.trimmed.mdup.bam.RData.14
chr7 61970545 62160146 42079 63162469 wc-ww ERR2268502_.trimmed.mdup.bam.RData.15
chr7 64891134 65231720 64554842 66303545 ww-wc ERR2268502_.trimmed.mdup.bam.RData.16
chr8 7512615 8181499 6879121 8376579 wc-ww ERR2268502_.trimmed.mdup.bam.RData.17
chr8 12387991 12728805 11652829 13208093 ww-wc ERR2268502_.trimmed.mdup.bam.RData.18
chr8 58990608 59112718 58894446 59447980 wc-ww ERR2268502_.trimmed.mdup.bam.RData.19
chr9 95173638 95374413 94601311 95552387 wc-ww ERR2268502_.trimmed.mdup.bam.RData.20
chr9 123346704 123411906 123216152 123823615 ww-wc ERR2268502_.trimmed.mdup.bam.RData.21
chr18 59049106 59173639 58714410 59745621 ww-wc ERR2268502_.trimmed.mdup.bam.RData.22
chr7 6916636 7071670 6393161 7561081 cc-wc ERR2268503_.trimmed.mdup.bam.RData.1
chr8 6539007 7586142 6269831 8300020 cc-wc ERR2268503_.trimmed.mdup.bam.RData.2
chr8 12570495 13256436 11789678 13425339 wc-cc ERR2268503_.trimmed.mdup.bam.RData.3
chr9 10687927 10733020 10467055 11233543 ww-wc ERR2268503_.trimmed.mdup.bam.RData.4
chr13 33579540 33640195 33055564 33906103 wc-cc ERR2268503_.trimmed.mdup.bam.RData.5
chr14 55784710 56080356 55312844 56322382 wc-ww ERR2268503_.trimmed.mdup.bam.RData.6
chr17 12097690 12104979 11782410 12691623 wc-ww ERR2268503_.trimmed.mdup.bam.RData.7
chr2 107139634 107441165 106325019 109170353 ww-wc ERR2268504_.trimmed.mdup.bam.RData.1
chr4 57584144 57849871 56720711 59137898 ww-wc ERR2268504_.trimmed.mdup.bam.RData.2
chr8 50823566 50999333 50183054 52449374 cc-wc ERR2268504_.trimmed.mdup.bam.RData.3
chr18 14904536 22546655 13419024 23266971 ww-wc ERR2268504_.trimmed.mdup.bam.RData.4
chr1 93681051 93758783 93362079 94505509 ww-wc ERR2268505_.trimmed.mdup.bam.RData.1
chr5 38801603 38804565 38471918 39466707 cc-wc ERR2268505_.trimmed.mdup.bam.RData.2
chr5 49942335 50267269 46407140 50622934 wc-cc ERR2268505_.trimmed.mdup.bam.RData.3
